Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2024-03-11,165000,168900,164700,166600,3450905,-0.030831878999418305,167800.0,166420.0
2024-03-12,166100,167200,164000,165700,3102706,-0.005402160864345751,168066.66666666666,166400.0
2024-03-13,168600,169700,162000,163600,5072935,-0.012673506336753126,165300.0,166540.0
2024-03-14,163600,164200,161100,161900,3655060,-0.010391198044009786,163733.33333333334,165940.0
2024-03-15,159600,162900,158600,161200,4099531,-0.004323656578134605,162233.33333333334,163800.0
2024-03-18,161200,164500,161000,164300,2696598,0.019230769230769162,162466.66666666666,163340.0
2024-03-19,161700,161800,157600,160200,4159293,-0.0249543517954961,161900.0,162240.0
2024-03-20,160200,161400,154100,156500,5692523,-0.023096129837702817,160333.33333333334,160820.0
2024-03-21,165200,171400,162600,170000,9205769,0.08626198083067083,162233.33333333334,162440.0
2024-03-22,169000,173900,167400,169800,5400916,-0.0011764705882353343,165433.33333333334,164160.0
2024-03-25,170500,174800,168500,169400,3434516,-0.002355712603062443,169733.33333333334,165180.0
2024-03-26,172000,179500,171900,176600,6549669,0.04250295159386064,171933.33333333334,168460.0
2024-03-27,176700,183000,175600,181200,5774536,0.026047565118912708,175733.33333333334,173400.0
2024-03-28,178000,182100,178000,178200,3424716,-0.01655629139072845,178666.66666666666,175040.0
2024-03-29,179200,183900,177600,183000,3035080,0.026936026936027035,180800.0,177680.0
2024-04-01,186400,190500,185000,185500,2723474,0.013661202185792254,182233.33333333334,180900.0
2024-04-02,188000,190000,184400,186300,4207759,0.004312668463611891,184933.33333333334,182840.0
2024-04-03,182000,183700,178200,179200,5416518,-0.03811057434245835,183666.66666666666,182440.0
2024-04-04,184400,188500,184000,188000,5344102,0.049107142857142794,184500.0,184400.0
2024-04-05,184800,187600,181800,182800,4043133,-0.02765957446808509,183333.33333333334,184360.0
2024-04-08,183900,183900,180000,181200,3278855,-0.008752735229759279,184000.0,183500.0
2024-04-09,182300,185300,181700,182900,2302751,0.00938189845474624,182300.0,182820.0
2024-04-11,182900,188400,182400,188400,4098231,0.03007107709130663,184166.66666666666,184660.0
2024-04-12,188700,191400,187000,187400,3097301,-0.005307855626326963,186233.33333333334,184540.0
2024-04-15,185400,188400,183000,188200,2672047,0.004268943436499528,188000.0,185620.0
2024-04-16,184400,185500,178300,179100,4956035,-0.048352816153028666,184900.0,185200.0
2024-04-17,179600,182500,177700,178700,4340591,-0.002233389168062483,182000.0,184360.0
2024-04-18,176000,183300,175400,182300,4170243,0.020145495243424794,180033.33333333334,183140.0
2024-04-19,177200,178500,169500,173300,7545976,-0.04936917169500821,178100.0,180320.0
2024-04-22,170700,172400,167000,171600,5882906,-0.009809578765147098,175733.33333333334,177000.0
2024-04-23,172600,173700,169700,171000,3975371,-0.0034965034965035446,171966.66666666666,175380.0
2024-04-24,178900,180200,176300,179800,4254632,0.05146198830409365,174133.33333333334,175600.0
2024-04-25,173800,176700,170600,170600,5332149,-0.05116796440489435,173800.0,173260.0
2024-04-26,176200,178300,174900,177800,5471765,0.042203985932004695,176066.66666666666,174160.0
2024-04-29,179100,180400,175600,175900,2892809,-0.010686164229471329,174766.66666666666,175020.0
2024-04-30,175900,179000,173800,174200,3655060,-0.009664582148948275,175966.66666666666,175660.0
2024-05-02,169000,174700,169000,173600,3168250,-0.003444316877152742,174566.66666666666,174420.0
2024-05-03,177000,177500,173200,173200,2336256,-0.0023041474654378336,173666.66666666666,174940.0
2024-05-07,179400,180900,179300,179600,4349589,0.036951501154734334,175466.66666666666,175300.0
2024-05-08,177600,179400,176000,178000,2304744,-0.008908685968819552,176933.33333333334,175720.0
2024-05-09,179000,179400,175400,175400,2861600,-0.014606741573033655,177666.66666666666,175960.0
2024-05-10,176500,180100,176400,179900,2813668,0.025655644241733278,177766.66666666666,177220.0
2024-05-13,180000,184000,179000,183800,3230023,0.021678710394663625,179700.0,179340.0
2024-05-14,184200,185800,181800,185300,2763069,0.008161044613710589,183000.0,180480.0
2024-05-16,191100,194000,191100,193000,5083178,0.04155423637344846,187366.66666666666,183480.0
2024-05-17,192000,193500,189900,189900,2841394,-0.016062176165803077,189400.0,186380.0
2024-05-20,192300,193200,188600,190100,3592128,0.0010531858873090716,191000.0,188420.0
2024-05-21,193400,193500,191200,192000,2468109,0.009994739610731163,190666.66666666666,190060.0
2024-05-22,191900,197700,190900,197700,3949439,0.02968750000000009,193266.66666666666,192540.0
2024-05-23,203500,204000,198200,200000,4681849,0.01163378856853825,196566.66666666666,193940.0
2024-05-24,199800,202500,197500,198600,3793872,-0.007000000000000006,198766.66666666666,195680.0
2024-05-27,203500,209000,199100,201500,4774882,0.01460221550855989,200033.33333333334,197960.0
2024-05-28,202500,205500,200500,202500,2084945,0.00496277915632759,200866.66666666666,200060.0
2024-05-29,210000,210000,200500,202500,3073139,0.0,202166.66666666666,201020.0
2024-05-30,202500,202500,195700,195700,2402236,-0.03358024691358019,200233.33333333334,200160.0
2024-05-31,194400,195200,188200,189200,5958829,-0.03321410321921303,195800.0,198280.0
2024-06-03,189500,194600,188200,194200,2982443,0.026427061310782207,193033.33333333334,196820.0
2024-06-04,196400,196500,192900,193300,1996780,-0.004634397528321288,192233.33333333334,194980.0
2024-06-05,189400,195200,188800,193700,2709631,0.0020693222969476732,193733.33333333334,193220.0
2024-06-07,199500,207500,197300,207500,4805326,0.07124419204956123,198166.66666666666,195580.0
2024-06-10,206000,209500,205000,208000,2448961,0.002409638554216942,203066.66666666666,199340.0
2024-06-11,210000,215000,206000,212500,3070163,0.02163461538461542,209333.33333333334,203000.0
2024-06-12,212000,216000,211000,215000,2151331,0.0117647058823529,211833.33333333334,207340.0
2024-06-13,226000,226500,219000,222000,5777279,0.032558139534883734,216500.0,213000.0
2024-06-14,225000,225000,216000,221000,3311223,-0.0045045045045044585,219333.33333333334,215700.0
2024-06-17,219000,229500,219000,223000,2198340,0.009049773755656076,222000.0,218700.0
2024-06-18,227000,234500,227000,234500,3136231,0.05156950672645744,226166.66666666666,223100.0
2024-06-19,235000,243000,231500,233500,3758652,-0.004264392324093813,230333.33333333334,226800.0
2024-06-20,233500,238500,231000,237500,2927358,0.017130620985010614,235166.66666666666,229900.0
2024-06-21,230500,234500,230000,234000,3848394,-0.01473684210526316,235000.0,232500.0
2024-06-24,228000,230000,220000,223000,5080726,-0.047008547008547064,231500.0,232500.0
2024-06-25,215500,225000,215000,225000,5730999,0.008968609865470878,227333.33333333334,230600.0
2024-06-26,228000,238500,227500,237000,5166862,0.05333333333333323,228333.33333333334,231300.0
2024-06-27,229500,239000,227500,236500,3763005,-0.002109704641350185,232833.33333333334,231100.0
2024-06-28,235500,237500,232500,236500,2368287,0.0,236666.66666666666,231600.0
2024-07-01,233500,236500,232000,235500,1709955,-0.0042283298097252064,236166.66666666666,234100.0
2024-07-02,235500,237000,230500,232000,2343947,-0.014861995753715496,234666.66666666666,235500.0
2024-07-03,231000,236000,225000,236000,3315677,0.01724137931034475,234500.0,235300.0
2024-07-04,240500,240500,225000,230000,7599882,-0.025423728813559365,232666.66666666666,234000.0
2024-07-05,228500,237500,227500,236000,4041293,0.026086956521739202,234000.0,233900.0
2024-07-08,234000,237000,232500,233500,2309023,-0.010593220338983023,233166.66666666666,233500.0
2024-07-09,235500,241000,233000,238500,4810781,0.021413276231263323,236000.0,234800.0
2024-07-10,237500,239000,234000,239000,2579373,0.002096436058700135,237000.0,235400.0
2024-07-11,242500,248500,241000,241000,5336097,0.008368200836819994,239500.0,237600.0
2024-07-12,232000,236000,230000,233000,4972976,-0.03319502074688796,237666.66666666666,237000.0
2024-07-15,235000,235500,226500,230000,3301380,-0.012875536480686733,234666.66666666666,236300.0
2024-07-16,226500,235000,224000,233000,3982189,0.01304347826086949,232000.0,235200.0
2024-07-17,229500,230000,220500,220500,6051510,-0.05364806866952787,227833.33333333334,231500.0
2024-07-18,212500,215000,209000,212500,8847665,-0.03628117913832196,222000.0,225800.0
2024-07-19,208500,214000,207000,209500,4519170,-0.014117647058823568,214166.66666666666,221100.0
2024-07-22,209000,209500,200500,205000,6662441,-0.021479713603818618,209000.0,216100.0
2024-07-23,208500,209500,200500,205000,5976519,0.0,206500.0,210500.0
2024-07-24,202000,212500,200000,208500,4838734,0.017073170731707332,206166.66666666666,208100.0
2024-07-25,196200,198800,189000,190000,12503762,-0.08872901678657075,201166.66666666666,203600.0
2024-07-26,190800,194500,186100,191800,8769107,0.0094736842105263,196766.66666666666,200060.0
2024-07-29,195000,195700,192200,195600,4017366,0.019812304483837417,192466.66666666666,198180.0
2024-07-30,191300,192200,186500,188900,5165131,-0.03425357873210633,192100.0,194960.0
2024-07-31,188000,195000,185200,194600,6439929,0.030174695606140833,193033.33333333334,192180.0
2024-08-01,201500,201500,193300,193300,6457167,-0.0066803699897225455,192266.66666666666,192840.0
2024-08-02,183600,184000,172400,173200,13050139,-0.10398344542162441,187033.33333333334,189120.0
2024-08-05,168000,171200,151600,156100,12358821,-0.09872979214780597,174200.0,181220.0
2024-08-06,165100,166400,161500,163700,10717321,0.04868673926969902,164333.33333333334,176180.0
2024-08-07,160900,171000,157400,169300,9732037,0.03420891875381793,163033.33333333334,171120.0
2024-08-08,162600,168200,161200,163400,5370361,-0.03484937979917302,165466.66666666666,165140.0
2024-08-09,172800,172800,168800,171500,5141277,0.049571603427172484,168066.66666666666,164800.0
2024-08-12,174500,179800,172600,177000,4413736,0.03206997084548102,170633.33333333334,168980.0
2024-08-13,179900,182400,178800,181900,4234287,0.027683615819209084,176800.0,172620.0
2024-08-14,188000,188100,184700,186700,4420516,0.02638812534359536,181866.66666666666,176100.0
2024-08-16,196000,200000,194700,199700,6959688,0.06963042313872525,189433.33333333334,183360.0
2024-08-19,199900,199900,192400,193900,3977026,-0.029043565348021994,193433.33333333334,187840.0
